book_id,title,description,clean_author,year,main_category,simple_category,avg_rating,review_count,popularity_score
13,1106 Grand Boulevard,"."" . . The dramatized, fictional story of the author's sister wins the prize for the most hair-raising soap opera that I have ever read. The 64-year-spanning story . . . with a beautiful woman in the lead (takes readers) from one glamorous location and wealthy man to another with hypnotic speed in order to cram in the entire tale of lust, power, money, and the search for true love."" -- Paul Kyriazi, Hollywood movie director.",Betty Dravis,2006,Fiction,Fiction,4.865384615384615,52,4.486958992952257
14,13 Little Blue Envelopes,"New York Times bestselling author Maureen Johnson’s funny, heartbreaking, and utterly romantic tale gets a great new cover! Ginny Blackstone never thought she’d spend her summer vacation backpacking across Europe. But that was before she received the first little blue envelope from Aunt Peg. This letter was different from Peg’s usual letters for two reasons: 1. Peg had been dead for three months. 2. The letter included $1000 cash for a passport and a plane ticket. Armed with instructions for how to retrieve twelve other letters Peg wrote—twelve letters that tell Ginny where she needs to go and what she needs to do when she gets there—Ginny quickly finds herself swept away in her first real adventure. Traveling from London to Edinburgh to Amsterdam and beyond, Ginny begins to uncover stories from her aunt’s past and discover who Peg really was. But the most surprising thing Ginny learns isn’t about Peg . . . it’s about herself. Everything about Ginny will change this summer, and it’s all because of the 13 little blue envelopes. Look for the sequel, The Last Little Blue Envelope!",Maureen Johnson,2016,Juvenile Fiction,Juvenile Fiction,4.04516129032258,155,4.0862463735246095
15,1453: The Holy War for Constantinople and the Clash of Islam and the West,"Now in trade paperback, a gripping exploration of the fall of Constantinople and its connection to the world we live in today The fall of Constantinople in 1453 signaled a shift in history, and the end of the Byzantium Empire. Roger Crowley's readable and comprehensive account of the battle between Mehmed II, sultan of the Ottoman Empire, and Constantine XI, the 57th emperor of Byzantium, illuminates the period in history that was a precursor to the current jihad between the West and the Middle East.",Roger Crowley,2006,Religion,Religion,4.446153846153846,65,4.315186170580109
16,1491: New Revelations of the Americas Before Columbus,"Hoe de wereld zich ontwikkelde na de ontdekking van Amerika De reizen van Columbus vormden het begin van een bijzondere uitwisseling van flora en fauna tussen Eurazië en Noord- en Zuid-Amerika. Zo vonden onder meer tomaten, aardappelen, maïs, zilver en rubber hun weg naar Eurazië, en omgekeerd zijde, paarden, graan, koffie, appels - en slaven niet te vergeten - naar Noord- en Zuid-Amerika. Een minder welkome uitwisseling was uiteraard die van insecten, bacteriën en virussen. Charles Mann laat zien dat deze zogeheten Columbian Exchange heeft gezorgd voor de opkomst van Europa, de ondergang van het Chinese keizerrijk en de verstoring van de ecologie in Afrika. Met 1493 heeft bestsellerauteur Charles Mann de belangrijkste biologische gebeurtenis sinds het uitsterven van de dinosauriërs onder de aandacht van een groot publiek weten te brengen. Charles Mann is correspondent voor The Atlantic en Science, en schrijft onder meer voor Fortune, The NewYork Times en The Washington Post. Zijn boek 1491.De ontdekking van precolumbiaans Amerika was een groot internationaal succes. Manns werk is vele malen bekroond. 'Het is Mann gelukt een gecompliceerd verhaal helder te vertellen (...).' - The New York Times '1493 is een meeslepend boek, dat de vele economische, agrarische en biologische kruisbestuivingen beschrijft die plaatsvonden nadat Columbus toevallig Amerika had ontdekt.' - TheWall Street Journal '(...) een bijzonder onderhoudend en evenwichtig boek.' - New Scientist '(...) boordevol interessante inzichten, wetenswaardigheden en onvoorziene, adembenemende ellende.' - NRCHandelsblad '(...) een uitermate rijk boek.' - Trouw '(...) een helder en onderhoudend verhaal over de mens en zijn medeorganismen (...).' - De Standaard '(...) wérkelijk een fascinerende, nieuwe wereld.' - De Pers",Charles C. Mann,2013,History,History,4.302158273381295,834,4.293630925667869
17,1632 (The Assiti Shards),"When part of West Virginia is transported to 1632 East Germany during the Thirty Year's War, the new citizens repel marauding mercenaries, house German refugees, determine citizenship, and establish relationships and identities.",Eric Flint,2000,Fiction,Fiction,3.8565022421524664,223,3.9304659797757435
18,1634: The Galileo Affair (Assiti Shards),"The Epic Struggle of Freedom and Justice Against the Tyrannies of the 17th Century Continues, as European Cunning Meets American Courage! The Thirty Years War continues to ravage 17th century Europe, but a new force is gathering power and influence: the Confederated Principalities of Europe, an alliance between Gustavus Adolphus, King of Sweden, and the West Virginians from the 20th century led by Mike Stearns who were hurled centuries into the past by a mysterious cosmic accident. The democratic ideals of the CPE have aroused the implacable hostility of Cardinal Richelieu, effective ruler of France, who has moved behind the scenes, making common cause with old enemies to stop this new threat to the privileged and powerful. But the CPE is also working in secret. A group of West Virginians have secretly traveled to Venice where their advanced medical knowledge may prevent the recurrence of the terrible plague which recently killed a third of the city-state's population. At the same time, the group hopes to establish commercial ties with Turkey's Ottoman Empire, then at the height of its power. And, most important, they hope to establish private diplomatic ties with the Vatican, exploiting Pope Urban VIII's misgivings about the actions of Richelieu and the Hapsburgs. But a Venetian artisan involved with the West Virginians may cause all their plans to come to naught. Having read 20th century history books of the period, he has become determined to rescue Galileo from his trial for heresy. The Americans are divided on whether to help him or stop him¾and whether he succeeds or fails, the results may be catastrophic for the CPE. At the publisher's request, this title is sold without DRM (Digital Rights Management). ""A rich complex alternate history with great characters and vivid action. A great read and an excellent book."" ¾David Drake ""Gripping . . . depicted with power!"" ¾Publishers Weekly "". . . formidable historiography, wit, balance (there are few stupid bad guys¾well, England's Charles I), intelligently ferocious women, and mouth-watering displays of alternate technology . . . [many readers] will turn every page and cry for more!"" ¾Booklist ""[Flint takes] historic speculation to a new level in a tale that combines accurate historical research with bold leaps of the imagination. Fans of alternate history and military sf should enjoy this rousing tale of adventure and intrigue."" ¾Library Journal",Eric Flint,2004,Fiction,Fiction,2.8518518518518516,54,3.5796151443312105
19,1634: The Ram Rebellion (Assiti Shards),"As the Thirty Years War continues to ravage seventeenth-century Europe, the West Virginians from twentieth-century America enter into an alliance with Gustavus Adolphus, King of Sweden, to promote a revolution among the peasants who seek freedom from the tyrannical nobility of the period.",Eric Flint,2006,Fiction,Fiction,2.557142857142857,70,3.340549645743808
20,"16 Lighthouse Road (Cedar Cove, Book 1)","The protagonist, Olivia Lockhart, is a woman judge, who denies a divorce in court, and in her small town of Cedar Cove, makes big news because of the ruling.",Debbie Macomber,2013,Fiction,Fiction,4.2481203007518795,133,4.227142435229364
21,1812: The War That Forged a Nation,"In June 1812 the still-infant United States had the audacity to declare war on the British Empire. Fought between creaking sailing ships and armies often led by bumbling generals, the ensuing conflict featured a tit-for-tat ""You burned our capital, so we'll burn yours"" and a legendary battle unknowingly fought after the signing of a peace treaty. During the course of the war, the young American navy proved its mettle as the USS Constitution, ""Old Ironsides,"" sent two first-rate British frigates to the bottom, and a twenty-seven-year-old lieutenant named Oliver Hazard Perry hoisted a flag exhorting, ""Don't Give Up the Ship,"" and chased the British from Lake Erie. By 1814, however, the United States was no longer fighting for free trade, sailors' rights, and as much of Canada as it could grab, but for its very existence as a nation. With Washington in flames, only a valiant defense at Fort McHenry saved Baltimore from a similar fate. Here are the stories of commanding generals such as America's Henry ""Granny"" Dearborn, double-dealing James Wilkinson, and feisty Andrew Jackson, as well as Great Britain's gallant Sir Isaac Brock, overly cautious Sir George Prevost, and Rear Admiral George Cockburn, the man who put the torch to Washington. Here too are those inadvertently caught up in the war, from heroine farm wife Laura Secord, whom some call Canada's Paul Revere, to country doctor William Beanes, whose capture set the stage for Francis Scott Key to write ""The Star-Spangled Banner."" 1812: The War That Forged a Nation presents a sweeping narrative that emphasizes the struggle's importance to America's coming-of-age as a nation. Though frequently overlooked between the American Revolution and the Civil War, the War of 1812 did indeed span half a continent -- from Mackinac Island to New Orleans, and Lake Champlain to Horseshoe Bend -- and it paved the way for the conquest of the other half. During the War of 1812, the United States cast aside its cloak of colonial adolescence and -- with both humiliating and glorious moments -- found the fire that was to forge a nation.",Walter R. Borneman,2004,History,History,3.91044776119403,67,4.045259107389501
22,1876,"Returning to America after his long European sojourn, Charlie Schuyler, Aaron Burr's unacknowledged son, and Charlie's widowed daughter seek financial and political advancement in the centennial power centers, as republican idealism is giving way to imperial expediency. Reprint.",Gore Vidal,2000,Fiction,Fiction,3.88,50,4.051949584134035
23,1901: A Novel,"The year is 1901. Germany’s navy is the second largest in the world; their army, the most powerful. But with the exception of a small piece of Africa and a few minor islands in the Pacific, Germany is without an empire. Kaiser Wilhelm II demands that the United States surrender its newly acquired territories: Guam, Puerto Rico, Cuba, and the Philippines. President McKinley indignantly refuses, so with the honor and economic future of the Reich at stake, the Kaiser launches an invasion of the United States, striking first on Long Island. Now the Americans, with their army largely disbanded, must defend the homeland. When McKinley suffers a fatal heart attack, the new commander in chief, Theodore Roosevelt, rallies to the cause, along with Confederate general James Longstreet. From the burning of Manhattan to the climactic Battle of Danbury, American forces face Europe’s most potent war machine in a blazing contest of will against strength.",Robert Conroy,2003,Fiction,Fiction,3.1948051948051948,77,3.6477056491226345
24,1906,"Popular Mechanics inspires, instructs and influences readers to help them master the modern world. Whether it’s practical DIY home-improvement tips, gadgets and digital technology, information on the newest cars or the latest breakthroughs in science -- PM is the ultimate guide to our high-tech lifestyle.",Unknown,1906,Unknown,Other,4.37962962962963,108,4.3062092611295615
25,1916 LARGE PRINT EDITION,"British Women’s Cinema examines the place of female-centred films throughout British film history, from silent melodrama and 1940s costume dramas right up to the contemporary British ‘chick flick’.",Melanie Bell,2009,Performing Arts,Other,4.088235294117647,68,4.135144377258753
26,1984,"Nieuwspraak, Big Brother, het vocabulaire uit 1984 is in onze taal opgenomen en een eigen leven gaan leiden. De roman van George Orwell uit 1949 over de strijd van Winston Smith, ambtenaar op het ministerie van Waarheid, tegen de alles doordringende Partij, en zijn gedoemde liefde voor Julia heeft niets van zijn literarie zeggingskracht verloren. In Orwells steeds weer herdrukte anti-utopie verkeert de wereld in de wurggreep van een systeem dat is gegrondvest op de verbreiding van angst, haat en wreedheid, en dat iedere vorm van persoonlijke vrijheid en indiviualiteit uitsluit. 1984 is onverminderd geldig als benauwend nauwkeurig blauwdruk van elk dictatoriaal regime.",George Orwell,2013,Fiction,Fiction,4.5646528881823,3774,4.558211566078514
27,1st to Die: A Novel,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series. Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle. But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong. Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers.",James Patterson,2001,Fiction,Fiction,3.918097754293263,757,3.939141365176903
28,"20, 000 Leagues Under the Sea","The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited. Merchants, common sailors, captains of vessels, skippers, both of Europe and America, naval officers of all countries, and the Governments of several States on the two continents, were deeply interested in the matter. For some time past vessels had been met by ""an enormous thing,"" a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale. The facts relating to this apparition (entered in various log-books) agreed in most respects as to the shape of the object or creature in question, the untiring rapidity of its movements, its surprising power of locomotion, and the peculiar life with which it seemed endowed. If it was a whale, it surpassed in size all those hitherto classified in science. Taking into consideration the mean of observations made at divers times—rejecting the timid estimate of those who assigned to this object a length of two hundred feet, equally with the exaggerated opinions which set it down as a mile in width and three in length—we might fairly conclude that this mysterious being surpassed greatly all dimensions admitted by the learned ones of the day, if it existed at all. And that it DID exist was an undeniable fact; and, with that tendency which disposes the human mind in favour of the marvellous, we can understand the excitement produced in the entire world by this supernatural apparition. As to classing it in the list of fables, the idea was out of the question. On the 20th of July, 1866, the steamer Governor Higginson, of the Calcutta and Burnach Steam Navigation Company, had met this moving mass five miles off the east coast of Australia. Captain Baker thought at first that he was in the presence of an unknown sandbank; he even prepared to determine its exact position when two columns of water, projected by the mysterious object, shot with a hissing noise a hundred and fifty feet up into the air. Now, unless the sandbank had been submitted to the intermittent eruption of a geyser, the Governor Higginson had to do neither more nor less than with an aquatic mammal, unknown till then, which threw up from its blow-holes columns of water mixed with air and vapour. Similar facts were observed on the 23rd of July in the same year, in the Pacific Ocean, by the Columbus, of the West India and Pacific Steam Navigation Company. But this extraordinary creature could transport itself from one place to another with surprising velocity; as, in an interval of three days, the Governor Higginson and the Columbus had observed it at two different points of the chart, separated by a distance of more than seven hundred nautical leagues.",Jules Verne,2020,Unknown,Other,4.130434782608695,391,4.138101320560118
29,2010: odyssey two,"To the spaceship Discovery, floating in the silent depths of space since Dave Bowman passed through the alien 'Star Gate', comes Heywood Floyd on a mission of recovery. What he finds near Jupiter is beyond the imaginings of any mere human.",Arthur Charles Clarke,1997,Human-computer interaction,Other,4.3277310924369745,119,4.277033707475077
30,"204 Rosewood Lane (Cedar Cove, Book 2)","Grace, a seemingly reserved librarian, shows the town of Cedar Cove what she is truly made of when her husband mysteriously vanishes, forcing her to call upon her inner strength and courage to help her two daughters deal with his disappearance.",Debbie Macomber,2001,Love stories,Other,4.32051282051282,78,4.258560854373524
31,21: The Final Unfinished Voyage of Jack Aubrey,"An incomplete, final installment of the Aubrey/Maturin seafaring adventure series features three printed chapters and a facsimile of the manuscript, which includes details about Jack Aubrey's post-promotion mission to the South Africa station and a duel between Stephen Maturin and an impertinent officer.",Patrick OBrian,2004,Fiction,Fiction,3.596774193548387,62,3.897434662798536
32,21 Things I Wish My Broker Had Told Me: Practical Advice for New Real Estate Professionals.,"""Frank Cook shows new agents, those who might want to be agents, and those who want to be better agents, the road to success.""--Jacket.",Frank Cook,2002,Business & Economics,Business & Economics,4.385964912280702,57,4.2784770670115915
33,22 Immutable Laws of Branding,"This marketing classic has been expanded to include new commentary, new illustrations, and a bonus book: The 11 Immutable Laws of Internet Branding. Smart and accessible, The 22 Immutable Laws of Branding is the definitive text on branding, pairing anecdotes about some of the best brands in the world, like Rolex, Volvo, and Heineken, with the signature savvy of marketing gurus Al and Laura Ries. Combining The 22 Immutable Laws of Branding and The 11 Immutable Laws of Internet Branding, this book proclaims that the only way to stand out in today's marketplace is to build your product or service into a brand—and provides the step-by-step instructions you need to do so. The 22 Immutable Laws of Branding also tackles one of the most challenging marketing problems today: branding on the Web. The Rieses divulge the controversial and counterintuitive strategies and secrets that both small and large companies have used to establish internet brands. The 22 Immutable Laws of Branding is the essential primer on building a category-dominating, world-class brand.",Al Ries,2009,Business & Economics,Business & Economics,3.9669421487603307,121,4.042872054706527
34,"23 Minutes In Hell: One Man's Story About What He Saw, Heard, and Felt in that Place of Torment","New York Times Best Seller and Over 1 million copies sold! Over 750 5-Star reviews Wiese’s visit to the devil’s lair lasted just twenty-three minutes, but he returned with vivid details etched in his memory, capturing the attention of national media, including the Christian Broadcasting Network, Daystar Television Network, Trinity Broadcasting Network, the Miracle Channel, Sid Roth’s It’s Supernatural!, Sean Hannity’s America, Charisma News, and many others. Bill Wiese experienced something so horrifying it continues to captivate the world. He saw the searing flames of hell, felt total isolation, smelled the putrid and rotting stench, heard deafening screams of agony, and experienced terrorizing demons. Finally the strong hand of God lifted him out of the pit. Now Wiese shares his insights on commonly asked questions such as: Is hell a literal burning place? Where is hell? Do you have a body in hell? Are there degrees of punishment in hell? Are there children in hell? Can demons torment people in hell? Can “good” people go to hell?",Bill Wiese,2010,Religion,Religion,3.8113590263691686,493,3.854792477016871
35,24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily,"Offers practical strageties for gauging the stock market, buying and selling at the right time, taking advantage of mutual funds, and building a profitable portfolio.",William J. ONeil,2000,Business & Economics,Business & Economics,3.4936708860759493,79,3.8053764039959312
36,25 Bridge Conventions You Should Know,"Explains twenty-five bidding conventions, including the grand slam force, lead-directing doubles, negative doubles, new minor forcing, responsive doubles, reverse Drury, splinter bids, Stayman, takeout doubles, and weak two-bids",Barbara Seagram,1999,Games & Activities,Other,4.754385964912281,57,4.450608214552576
37,2 Years to a Million in Real Estate,"Quit your day job! Make a million in real estate! It's easier than you think! A few years ago, Matthew Martinez was a lot like you - he worked hard to make as big a salary as he could. But it wasn't enough. He worked by the clock, and yearned to be his own boss. With a small amount of savings, he acquired his first rental property. Two years later, he was making more from his rentals than he was working 9 to 5, so he quit his day job to oversee his real estate investments. Today, he enjoys a multi-million-dollar collection of income-producing properties--and he's ready to share his money-making strategies so you can begin your own journey to career and financial independence. Two Years to a Million in Real Estateshows you everything you need to know, including how to Invest small amounts early-on while working a full-time job Avoid real estate “bubble” risks Get others to pay your mortgage for you Pick a hot property (and spot others that will become hot) Simplify the ins-and-outs of financing Negotiate like a pro Screen for reliable tenants Understand how local tenant laws work Hire good people to manage your properties Know when to sell",Matthew A. Martinez,2006,Business & Economics,Business & Economics,4.545454545454546,110,4.411281155288081
38,3000 Degrees: The True Story of a Deadly Fire and the Men Who Fought It,"The unforgettable and heartbreaking true story of the firemen who bravely fought ""the perfect fire"" is now in paperback.",Sean Flynn,2002,History,History,4.781818181818182,55,4.458118351461784
39,3001: The Final Odyssey (G K Hall Large Print Book Series),"In the year 2110 technology has cured most of our worries. But even as humankind enters a new golden age, an amateur astronomer points his telescope at just the right corner of the night sky and sees disaster hurtling toward Earth: a chunk of rock that could annihilate civilization. While the greatest scientific minds of Earth desperately search for a way to avoid the inevitable, on board the starship Goliath Captain Robert Singh and his crew must race against time to redirect the meteor from its deadly collision course -- a mission whose success may require the ultimate sacrifice.",Arthur Charles Clarke,2000,Fiction,Fiction,2.5787878787878786,330,2.8429726637352255
40,30 Days to a More Powerful Vocabulary,"A program for developing one's word power in 15 minutes a day. Includes tips on noticing new words, avoiding misuse, and a pronunciation key.",Norman Lewis,2022,Education,Other,4.103448275862069,145,4.128448581787686
41,30 Days to Understanding the Bible in 15 Minutes in a Day,"Max Anders promises that in just fifteen minutes a day for thirty days you can have a firm grasp on the roadmap of biblical history, the core teachings of the Scripture, the lay of its geographical landscape, and key characters, places, and events.",Max E. Anders,1998,Religion,Religion,4.672727272727273,55,4.408118351461784
42,365 Days Of Walking The Red Road: The Native American Path to Leading a Spiritual Life Every Day (Religion and Spirituality),"Make a pilgrimage into your soul... 365 Days of Walking the Red Road captures the priceless ancient knowledge Native American elders have passed on from generation to generation for centuries, and shows you how to move positively down your personal road without fear or doubt. Special highlights: Inspiring quotations from Native Americans, such as Tecumseh, Black Hawk, Geronimo, and Chief Joseph A monthly Red Road spiritual lesson The proper uses of dreamcatchers and other symbols and crafts Important dates in Native American history",Terri Jean,2003,History,History,4.306451612903226,62,4.243891355711922
43,365 Knitting Stitches a Year Perpetual Calendar,"Fill your year with an incredible variety of knitting stitches, including basic knit-and-purl sitches plus ribs, cables and other textures.",Ed Martingale,2002,Knitting,Other,4.576271186440678,59,4.3707596949630165
44,3D Math Primer for Graphics and Game Development (Wordware Game Math Library),"This engaging book presents the essential mathematics needed to describe, simulate, and render a 3D world. Reflecting both academic and in-the-trenches practical experience, the authors teach you how to describe objects and their positions, orientations, and trajectories in 3D using mathematics. The text provides an introduction to mathematics for game designers, including the fundamentals of coordinate spaces, vectors, and matrices. It also covers orientation in three dimensions, calculus and dynamics, graphics, and parametric curves.",Fletcher Dunn,2011,Computers,Computers,4.333333333333333,57,4.253886903077165
45,3 Minutes to a Pain-Free Life: The Groundbreaking Program for Total Body Pain Prevention and Rapid Relief,Outlines a three-minute daily program for pain relief that identifies key sources of pain and utilizes six thirty-second therapeutic exercises designed to strengthen muscles and enable a full range of joint motion.,Joseph Weisberg,2005,Health & Fitness,Health & Fitness,4.583333333333333,72,4.393972278652657
46,"4,000 Days: My Life and Survival in a Bangkok Prison","The author describes how, after being convicted of drug trafficking in Thailand, he was given a life sentence at the Bang Kwang prison, where he overcame hardships and inhumane conditions in his struggle to survive.",Warren Fellows,2000,Biography & Autobiography,Biography & Autobiography,3.9444444444444446,72,4.058205855294993
47,44 Scotland Street,"Pat rents a room from the handsome and cocky Bruce, at 44 Scotland Street, and discovers that she has also acquired some colorful new neighbors, including Domenica, an eccentric widow.",Alexander McCall Smith,2005,44 Scotland Street (Edinburgh,Other,3.8990825688073394,109,4.0055988630770925
48,4.50 from Paddington (Agatha Christie Collection S.),"Miss Marple sets out to investigate when her friend, Mrs. McGillicuddy, claims to have seen a woman being strangled in a passing train from the window of her first-class coach.",Agatha Christie,2000,England,Other,4.0,51,4.103225880822535
